"시도별",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"시도별",합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤),합계:생산량 (톤)
"계",3501132,3919280,3603104,3195335,4090444,3939260,3997635,3957190,4211630,4444858,4669098,5214963,6005610,5797128,5564808,3550257,5062975,5175073,5404045,5681852,5625874,5607235,5493343,6053482,5897936,5605979,5384388,5330826,4749562,5059764,4694956,5322962,5449561,5096879,5262700,5290771,5514796,4926746,4451135,5000149,4768368,4679991,4407743,4843478,4916080,4295413,4224019,4006185,4230011,4240739,4326915,4196691,3972468,3868045,3744450,3506578,3881601,3763700,3702239,3584604,3539433
